ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000852.SH,20260114,8257.1716,8204.2798,8415.0982,8154.2409,8203.1327,54.0389,0.6588,489798359.0,884281078.762
000852.SH,20260113,8203.1327,8381.0421,8381.0421,8177.6291,8357.0107,-153.878,-1.8413,454444503.0,824652003.314
000852.SH,20260112,8357.0107,8196.085,8371.7487,8171.1052,8129.1831,227.8276,2.8026,447228954.0,827564717.481
000852.SH,20260109,8129.1831,7969.19,8131.4905,7969.19,7971.5887,157.5944,1.977,381043869.0,705322959.793
000852.SH,20260108,7971.5887,7886.8103,7993.6305,7886.6294,7906.4197,65.169,0.8243,325563908.0,605389117.079
000852.SH,20260107,7906.4197,7881.8359,7939.7517,7864.1385,7864.9034,41.5163,0.5279,318734367.0,617917011.025
000852.SH,20260106,7864.9034,7756.1581,7864.9034,7755.0717,7753.88,111.0234,1.4318,331162034.0,580815076.334
000852.SH,20260105,7753.88,7639.5375,7753.9594,7623.7489,7595.2845,158.5955,2.0881,305374726.0,542230841.526
000852.SH,20251231,7595.2845,7606.6462,7619.2214,7560.7229,7597.299,-2.0145,-0.0265,244549231.0,440672066.748
000852.SH,20251230,7597.299,7556.5373,7636.1531,7552.4006,7594.1575,3.1415,0.0414,263331874.0,468024130.591
000852.SH,20251229,7594.1575,7606.435,7637.9096,7574.7748,7605.5299,-11.3724,-0.1495,264064796.0,466873470.412
000852.SH,20251226,7605.5299,7575.9264,7644.8395,7550.0139,7579.3791,26.1508,0.345,266261611.0,473665628.418
000852.SH,20251225,7579.3791,7507.2965,7591.7818,7502.1544,7506.3814,72.9977,0.9725,228744917.0,434419255.593
000852.SH,20251224,7506.3814,7391.5613,7513.2535,7386.4889,7392.4204,113.961,1.5416,217961455.0,406286039.967
000852.SH,20251223,7392.4204,7410.2236,7441.4124,7363.9337,7408.3488,-15.9284,-0.215,224288566.0,397181525.762
000852.SH,20251222,7408.3488,7363.064,7433.4281,7363.064,7329.8057,78.5431,1.0716,221601886.0,381186010.91
000852.SH,20251219,7329.8057,7295.6711,7357.0417,7279.9867,7272.4024,57.4033,0.7893,219205547.0,362345403.57
000852.SH,20251218,7272.4024,7244.6396,7336.7315,7241.8612,7288.7384,-16.336,-0.2241,200044662.0,348983557.161
000852.SH,20251217,7288.7384,7178.3067,7303.3754,7149.0188,7181.62,107.1184,1.4916,220498775.0,366263786.19
000852.SH,20251216,7181.62,7302.1591,7302.1591,7143.6148,7309.0775,-127.4575,-1.7438,230526007.0,361621759.667
000852.SH,20251215,7309.0775,7324.4797,7375.6117,7305.8316,7370.9416,-61.8641,-0.8393,220957697.0,372658890.926
000852.SH,20251212,7370.9416,7312.871,7384.8479,7284.5552,7311.9952,58.9464,0.8062,243525183.0,422779414.911
000852.SH,20251211,7311.9952,7421.7869,7425.441,7311.9952,7408.2441,-96.2489,-1.2992,234020873.0,381933822.513
000852.SH,20251210,7408.2441,7367.4924,7421.4225,7332.0525,7380.5835,27.6606,0.3748,215611134.0,360245249.693
000852.SH,20251209,7380.5835,7400.9344,7439.5464,7370.2962,7423.0462,-42.4627,-0.572,228491428.0,392312852.126
000852.SH,20251208,7423.0462,7359.4882,7446.192,7359.4882,7342.4924,80.5538,1.0971,240918995.0,418474779.432
000852.SH,20251205,7342.4924,7244.2771,7346.9992,7194.6607,7248.6573,93.8351,1.2945,215727663.0,352805657.18
000852.SH,20251204,7248.6573,7246.8622,7269.9017,7185.911,7248.274,0.3833,0.0053,194839254.0,311315804.96
000852.SH,20251203,7248.274,7312.6673,7324.2105,7220.9759,7313.178,-64.904,-0.8875,214633400.0,335034477.208
000852.SH,20251202,7313.178,7364.2041,7364.2041,7299.2721,7386.6811,-73.5031,-0.9951,200512477.0,320218841.083
000852.SH,20251201,7386.6811,7356.5131,7388.6182,7342.5963,7334.2097,52.4714,0.7154,234411583.0,392320297.532
000852.SH,20251128,7334.2097,7257.1654,7334.2097,7239.8544,7257.454,76.7557,1.0576,200680508.0,342185224.996
000852.SH,20251127,7257.454,7243.7141,7330.5999,7243.7141,7248.4489,9.0051,0.1242,211277412.0,365625943.247
000852.SH,20251126,7248.4489,7236.6554,7307.1989,7225.0866,7249.9471,-1.4982,-0.0207,231776824.0,376963938.111
000852.SH,20251125,7249.9471,7195.1,7311.7266,7194.7658,7156.4085,93.5386,1.3071,245429429.0,404174105.411
000852.SH,20251124,7156.4085,7105.642,7190.7229,7064.5978,7067.703,88.7055,1.2551,240655062.0,368993404.4
000852.SH,20251121,7067.703,7235.3258,7274.3341,7067.703,7340.4118,-272.7088,-3.7152,284800690.0,408671897.438
000852.SH,20251120,7340.4118,7429.7001,7439.0443,7332.3212,7387.2084,-46.7966,-0.6335,227536090.0,356711968.727
000852.SH,20251119,7387.2084,7438.1387,7471.732,7348.0371,7448.1007,-60.8923,-0.8176,238393820.0,367172563.738
000852.SH,20251118,7448.1007,7508.531,7521.6563,7412.276,7523.0758,-74.9751,-0.9966,277480409.0,418065487.002
000852.SH,20251117,7523.0758,7514.8395,7544.7234,7487.8078,7502.7567,20.3191,0.2708,261156118.0,391318349.646
000852.SH,20251114,7502.7567,7527.8343,7591.3153,7502.7567,7590.5763,-87.8196,-1.157,271972783.0,406292990.194
000852.SH,20251113,7590.5763,7483.6641,7604.8907,7475.5108,7486.3766,104.1997,1.3919,275636073.0,420596449.342
000852.SH,20251112,7486.3766,7520.1786,7537.7609,7421.459,7540.791,-54.4144,-0.7216,266963363.0,390482493.659
000852.SH,20251111,7540.791,7579.9084,7598.9881,7530.1438,7563.2535,-22.4625,-0.297,265250731.0,404867228.037
000852.SH,20251110,7563.2535,7568.7514,7592.7574,7515.684,7541.878,21.3755,0.2834,274361317.0,433797531.457
000852.SH,20251107,7541.878,7519.7475,7581.5597,7492.9255,7551.8299,-9.9519,-0.1318,267888664.0,419611056.738
000852.SH,20251106,7551.8299,7482.9075,7551.8299,7466.7522,7464.8632,86.9667,1.165,263612959.0,405168970.723
000852.SH,20251105,7464.8632,7332.1037,7490.9036,7332.1037,7435.7308,29.1324,0.3918,258548178.0,373351692.088
000852.SH,20251104,7435.7308,7523.6395,7523.6395,7387.3777,7538.1178,-102.387,-1.3583,251677413.0,381678891.759
000852.SH,20251103,7538.1178,7507.3741,7539.3269,7417.2734,7506.6746,31.4432,0.4189,278241705.0,432422773.381
000852.SH,20251031,7506.6746,7480.6583,7583.0326,7480.6583,7485.0848,21.5898,0.2884,299745206.0,475587998.228
000852.SH,20251030,7485.0848,7560.5999,7569.1562,7476.7009,7569.117,-84.0322,-1.1102,297385269.0,478507155.181
000852.SH,20251029,7569.117,7481.2368,7569.117,7469.0703,7479.221,89.896,1.2019,265846129.0,439161754.319
000852.SH,20251028,7479.221,7462.9114,7534.0514,7443.7011,7495.3831,-16.1621,-0.2156,251804249.0,431016068.637
000852.SH,20251027,7495.3831,7483.2951,7511.4144,7430.6195,7419.2352,76.1479,1.0264,265344749.0,458169856.648
000852.SH,20251024,7419.2352,7340.6692,7419.4072,7340.6692,7308.0992,111.136,1.5207,245559953.0,397473067.376
000852.SH,20251023,7308.0992,7292.3904,7319.5504,7192.416,7312.21,-4.1108,-0.0562,231568976.0,328574781.927
000852.SH,20251022,7312.21,7304.964,7349.7969,7278.7127,7344.0468,-31.8368,-0.4335,227324503.0,332181328.131
000852.SH,20251021,7344.0468,7257.1124,7350.9226,7236.6344,7239.1845,104.8623,1.4485,237250165.0,348158794.787
000852.SH,20251020,7239.1845,7259.4863,7301.9882,7196.2804,7185.4781,53.7064,0.7474,218579676.0,328445222.617
000852.SH,20251017,7185.4781,7395.8658,7426.2097,7176.9587,7401.8375,-216.3594,-2.923,254327325.0,383875372.638
000852.SH,20251016,7401.8375,7460.763,7472.7549,7378.2971,7483.449,-81.6115,-1.0906,234643070.0,374296521.876
000852.SH,20251015,7483.449,7384.0113,7484.0488,7315.4827,7373.1522,110.2968,1.4959,244853965.0,403797525.524
000852.SH,20251014,7373.1522,7580.3927,7611.8255,7342.5996,7519.7636,-146.6114,-1.9497,304412013.0,506690155.149
000852.SH,20251013,7519.7636,7250.5787,7535.2069,7250.5787,7533.8201,-14.0565,-0.1866,288400411.0,470990827.392
000852.SH,20251010,7533.8201,7608.2917,7621.9758,7513.166,7648.0523,-114.2322,-1.4936,290429922.0,485703734.784
000852.SH,20251009,7648.0523,7623.2986,7671.171,7590.4725,7574.9631,73.0892,0.9649,303491380.0,530500291.415
000852.SH,20250930,7574.9631,7525.6243,7592.9135,7524.9153,7497.8308,77.1323,1.0287,255173785.0,442639611.194
000852.SH,20250929,7497.8308,7415.128,7517.1178,7376.9091,7397.5894,100.2414,1.3551,258680184.0,419534690.314
000852.SH,20250926,7397.5894,7476.9372,7516.1106,7396.5847,7506.5124,-108.923,-1.451,258750259.0,436863300.986
000852.SH,20250925,7506.5124,7521.3165,7563.0794,7487.1194,7534.2223,-27.7099,-0.3678,264403712.0,464745025.579
000852.SH,20250924,7534.2223,7375.9106,7534.2223,7342.4699,7408.0691,126.1532,1.7029,278912761.0,494397619.556
000852.SH,20250923,7408.0691,7500.6181,7504.2308,7261.6656,7489.4784,-81.4093,-1.087,313260280.0,503959593.1
000852.SH,20250922,7489.4784,7457.8861,7489.4784,7418.4645,7438.1887,51.2897,0.6895,270362602.0,440515484.56
000852.SH,20250919,7438.1887,7473.0215,7520.9193,7405.2905,7476.402,-38.2133,-0.5111,295895870.0,483203148.485
000852.SH,20250918,7476.402,7552.2302,7665.9697,7393.1799,7554.8125,-78.4105,-1.0379,398600102.0,654022739.891
000852.SH,20250917,7554.8125,7478.408,7564.816,7461.4097,7483.6282,71.1843,0.9512,301706485.0,493296275.783
000852.SH,20250916,7483.6282,7426.4093,7487.0662,7364.733,7415.5711,68.0571,0.9178,309010590.0,474734476.79
000852.SH,20250915,7415.5711,7445.4982,7454.2951,7404.4955,7422.8844,-7.3133,-0.0985,301307761.0,475104705.4
000852.SH,20250912,7422.8844,7402.4173,7472.8736,7387.5886,7399.8854,22.999,0.3108,315838793.0,508828451.8
000852.SH,20250911,7399.8854,7215.9279,7399.8854,7161.2808,7230.1678,169.7176,2.3474,293975142.0,486236595.2
000852.SH,20250910,7230.1678,7214.2262,7296.001,7179.7573,7226.0277,4.1401,0.0573,252674158.0,396104754.79
000852.SH,20250909,7226.0277,7287.4023,7315.9665,7198.3192,7311.0343,-85.0066,-1.1627,282443061.0,431928802.54
000852.SH,20250908,7311.0343,7257.3316,7321.157,7220.5906,7245.667,65.3673,0.9022,307813289.0,495541349.344
000852.SH,20250905,7245.667,7046.9581,7248.5769,7017.9463,7041.1544,204.5126,2.9045,282765931.0,458842754.388
000852.SH,20250904,7041.1544,7214.7204,7254.9988,6939.6649,7206.8758,-165.7214,-2.2995,297622754.0,488595037.929
000852.SH,20250903,7206.8758,7336.3859,7361.0283,7182.2909,7313.8824,-107.0066,-1.4631,290288568.0,486667166.563
000852.SH,20250902,7313.8824,7498.4447,7499.6024,7258.5892,7501.1483,-187.2659,-2.4965,350435853.0,598514462.45
000852.SH,20250901,7501.1483,7475.0003,7502.5918,7424.3412,7438.6767,62.4716,0.8398,324220712.0,564568450.679
000852.SH,20250829,7438.6767,7449.8641,7477.2041,7380.8299,7447.1101,-8.4334,-0.1132,327640881.0,565058625.663
000852.SH,20250828,7447.1101,7331.1874,7447.1101,7216.7658,7336.5036,110.6065,1.5076,381466435.0,631711691.476
000852.SH,20250827,7336.5036,7488.9276,7565.3531,7336.5036,7476.4672,-139.9636,-1.8721,416759265.0,672784131.894
000852.SH,20250826,7476.4672,7457.77,7526.166,7435.3007,7477.728,-1.2608,-0.0169,363684661.0,573343123.464
000852.SH,20250825,7477.728,7418.3462,7504.0091,7405.9392,7362.9396,114.7884,1.559,408457655.0,660911467.974
000852.SH,20250822,7362.9396,7250.1914,7362.9396,7250.1914,7253.3429,109.5967,1.511,326807492.0,527766039.448
000852.SH,20250821,7253.3429,7318.7569,7343.1737,7215.338,7305.4613,-52.1184,-0.7134,326822891.0,516507411.053
000852.SH,20250820,7305.4613,7212.9697,7305.4613,7166.991,7242.8494,62.6119,0.8645,324751503.0,517521411.019
000852.SH,20250819,7242.8494,7231.9301,7289.0315,7193.5945,7237.6018,5.2476,0.0725,340879045.0,558781044.092
000852.SH,20250818,7237.6018,7158.5311,7267.9813,7143.0663,7117.5009,120.1009,1.6874,379831263.0,606867233.382
000852.SH,20250815,7117.5009,6956.5078,7117.5099,6956.5078,6976.4875,141.0134,2.0213,304005226.0,492508504.867
000852.SH,20250814,6976.4875,7072.9027,7077.8092,6957.3966,7064.3339,-87.8464,-1.2435,317272936.0,513604373.009
000852.SH,20250813,7064.3339,6966.2732,7070.5036,6966.2732,6963.611,100.7229,1.4464,294653874.0,471479346.409
000852.SH,20250812,6963.611,6943.666,6963.8035,6894.8459,6943.9366,19.6744,0.2833,260489869.0,409922645.284
000852.SH,20250811,6943.9366,6850.5717,6957.4039,6850.5717,6838.1299,105.8067,1.5473,260970241.0,401163366.844
000852.SH,20250808,6838.1299,6844.4385,6865.8379,6816.0939,6862.1497,-24.0198,-0.35,251465671.0,381544614.397
000852.SH,20250807,6862.1497,6864.4456,6876.4968,6813.7736,6861.3091,0.8406,0.0123,261389600.0,411411186.262
000852.SH,20250806,6861.3091,6784.1749,6865.017,6774.033,6787.4806,73.8285,1.0877,258133888.0,399056054.134
000852.SH,20250805,6787.4806,6753.5266,6787.4806,6744.0721,6739.6936,47.787,0.709,223724677.0,348578384.503
000852.SH,20250804,6739.6936,6637.839,6739.7254,6631.1242,6670.472,69.2216,1.0377,213491525.0,329554815.219
000852.SH,20250801,6670.472,6665.6417,6702.6788,6625.9283,6661.1862,9.2858,0.1394,232484670.0,349070970.147
000852.SH,20250731,6661.1862,6701.156,6750.0775,6639.1227,6718.4819,-57.2957,-0.8528,270138677.0,401821827.245
000852.SH,20250730,6718.4819,6758.3273,6770.8825,6662.9057,6773.8843,-55.4024,-0.8179,268179559.0,392675091.206
000852.SH,20250729,6773.8843,6724.315,6773.8843,6684.158,6729.979,43.9053,0.6524,259261236.0,383703631.544
000852.SH,20250728,6729.979,6713.8176,6736.0794,6679.2113,6706.6098,23.3692,0.3485,252742904.0,359575849.641
000852.SH,20250725,6706.6098,6708.0802,6716.7031,6674.5409,6701.12,5.4898,0.0819,264004798.0,363139664.174
000852.SH,20250724,6701.12,6602.1685,6701.12,6602.1685,6607.22,93.9,1.4212,285418219.0,374405610.913
000852.SH,20250723,6607.22,6634.1232,6667.8582,6594.483,6637.1035,-29.8835,-0.4502,294109275.0,378330158.759
000852.SH,20250722,6637.1035,6607.8261,6642.235,6597.0477,6612.2589,24.8446,0.3757,301659994.0,395915308.554
000852.SH,20250721,6612.2589,6557.2514,6614.6058,6555.043,6552.0741,60.1848,0.9186,276591552.0,359907688.649
000852.SH,20250718,6552.0741,6546.3622,6563.8171,6521.4998,6535.6713,16.4028,0.251,234461713.0,330217284.922
000852.SH,20250717,6535.6713,6458.4136,6535.6713,6451.1529,6462.063,73.6083,1.1391,227831646.0,325983691.187
000852.SH,20250716,6462.063,6440.5168,6487.8298,6433.5069,6442.834,19.229,0.2985,220230024.0,306082808.217
000852.SH,20250715,6442.834,6451.9971,6472.5274,6381.5572,6462.3051,-19.4711,-0.3013,269869411.0,347377816.36
000852.SH,20250714,6462.3051,6465.506,6474.9337,6443.555,6461.0997,1.2054,0.0187,242057801.0,302637448.819
000852.SH,20250711,6461.0997,6411.3135,6487.4401,6388.4023,6406.5677,54.532,0.8512,282561283.0,352065982.159
000852.SH,20250710,6406.5677,6385.213,6427.7388,6367.6599,6390.4655,16.1022,0.252,240183380.0,296726316.908
000852.SH,20250709,6390.4655,6412.1444,6431.0906,6375.0817,6407.6976,-17.2321,-0.2689,236175589.0,303195813.289
000852.SH,20250708,6407.6976,6321.5525,6408.114,6318.5233,6327.139,80.5586,1.2732,235125583.0,306816858.617
000852.SH,20250707,6327.139,6305.0447,6333.5117,6303.8615,6312.1966,14.9424,0.2367,210477361.0,264834579.255
000852.SH,20250704,6312.1966,6338.557,6375.0672,6292.1356,6342.638,-30.4414,-0.4799,238133210.0,304676921.481
000852.SH,20250703,6342.638,6306.7451,6349.1446,6295.2252,6309.4837,33.1543,0.5255,213980765.0,270492479.385
000852.SH,20250702,6309.4837,6358.8725,6358.8725,6284.9999,6373.7679,-64.2842,-1.0086,238580903.0,296643998.872
000852.SH,20250701,6373.7679,6358.0599,6373.7679,6308.061,6356.1813,17.5866,0.2767,243537330.0,334302458.347
000852.SH,20250630,6356.1813,6297.0769,6358.0255,6292.5142,6276.9373,79.244,1.2625,237322973.0,336221160.415
000852.SH,20250627,6276.9373,6265.9234,6319.1607,6257.5869,6247.791,29.1463,0.4665,248563352.0,330455014.093
000852.SH,20250626,6247.791,6272.4429,6310.5358,6244.7814,6276.1634,-28.3724,-0.4521,254246495.0,343746329.448
000852.SH,20250625,6276.1634,6196.1529,6282.1118,6194.1479,6194.666,81.4974,1.3156,247556325.0,334997601.176
000852.SH,20250624,6194.666,6082.7439,6194.666,6082.7439,6078.2224,116.4436,1.9158,233453403.0,303658275.674
000852.SH,20250623,6078.2224,5966.4954,6083.5271,5965.6633,5999.5914,78.631,1.3106,193558490.0,239995084.576
000852.SH,20250620,5999.5914,6039.9913,6061.8405,5997.5898,6048.2243,-48.6329,-0.8041,180857342.0,226531986.435
000852.SH,20250619,6048.2243,6127.9379,6146.6422,6028.7167,6135.3858,-87.1615,-1.4206,212217336.0,270827079.699
000852.SH,20250618,6135.3858,6126.18,6143.2094,6086.6935,6141.4684,-6.0826,-0.099,204105755.0,256463608.434
000852.SH,20250617,6141.4684,6153.1473,6171.1652,6120.5704,6147.46,-5.9916,-0.0975,208427280.0,260873532.301
000852.SH,20250616,6147.46,6089.9633,6151.5134,6089.9633,6106.0083,41.4517,0.6789,197310933.0,253087825.584
000852.SH,20250613,6106.0083,6174.4316,6183.7141,6088.571,6192.22,-86.2117,-1.3923,236889547.0,298969326.948
000852.SH,20250612,6192.22,6171.5572,6202.7273,6151.0355,6186.5122,5.7078,0.0923,197018749.0,250824401.494
000852.SH,20250611,6186.5122,6162.1568,6221.202,6162.1568,6161.6919,24.8203,0.4028,197643580.0,243671184.608
000852.SH,20250610,6161.6919,6220.0416,6220.0416,6098.0886,6218.9637,-57.2718,-0.9209,220060485.0,277218151.0
000852.SH,20250609,6218.9637,6161.1381,6226.383,6158.9031,6152.8446,66.1191,1.0746,193283632.0,255785048.702
000852.SH,20250606,6152.8446,6164.4097,6169.5679,6137.5651,6167.0149,-14.1703,-0.2298,178339582.0,240362538.72
000852.SH,20250605,6167.0149,6125.8903,6174.8499,6101.8461,6123.172,43.8429,0.716,206077919.0,273238606.862
000852.SH,20250604,6123.172,6067.8272,6124.703,6067.8272,6070.0368,53.1352,0.8754,186955850.0,232039996.402
000852.SH,20250603,6070.0368,6009.1844,6086.6158,6008.5447,6026.5603,43.4765,0.7214,191764672.0,234296502.252
000852.SH,20250530,6026.5603,6075.4504,6075.4504,6016.8913,6089.5778,-63.0175,-1.0348,186918671.0,228038836.606
