,ts_code,name,market,publisher,category,base_date,base_point,list_date
0,000002.SH,A股指数,SSE,中证指数有限公司,规模指数,19901219,100.0,19920221
1,000003.SH,B股指数,SSE,中证指数有限公司,规模指数,19920221,100.0,19920817
2,000009.SH,上证380,SSE,中证指数有限公司,规模指数,20031231,1000.0,20101129
3,000010.SH,上证180,SSE,中证指数有限公司,规模指数,20020628,3299.06,20020701
4,000016.SH,上证50,SSE,中证指数有限公司,规模指数,20031231,1000.0,20040102
5,000017.SH,新综指,SSE,中证指数有限公司,规模指数,20051230,1000.0,20060104
6,000020.SH,中型综指,SSE,中证指数有限公司,规模指数,20071228,1000.0,20080512
7,000043.SH,超大盘,SSE,中证指数有限公司,规模指数,20031231,1000.0,20090423
8,000044.SH,上证中盘,SSE,中证指数有限公司,规模指数,20031231,1000.0,20090703
9,000045.SH,上证小盘,SSE,中证指数有限公司,规模指数,20031231,1000.0,20090703
10,000046.SH,上证中小,SSE,中证指数有限公司,规模指数,20031231,1000.0,20090703
11,000047.SH,上证全指,SSE,中证指数有限公司,规模指数,20031231,1000.0,20090703
12,000090.SH,上证流通,SSE,中证指数有限公司,规模指数,20091231,1000.0,20101202
13,000132.SH,上证100,SSE,中证指数有限公司,规模指数,20031231,1000.0,20120420
14,000133.SH,上证150,SSE,中证指数有限公司,规模指数,20031231,1000.0,20120420
15,000155.SH,上证市值百强,SSE,中证指数有限公司,规模指数,20031231,1000.0,20120720
16,000300.SH,沪深300,SSE,中证指数有限公司,规模指数,20041231,1000.0,20050408
17,000300CAD13.CSI,沪深300CAD(CNH)(LN),CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
18,000300CAD14.CSI,沪深300(全)CAD(CNH)(LN),CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
19,000300CAD15.CSI,沪深300(净)CAD(CNH)(LN),CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
20,000300GBP00.CSI,沪深300GBP,CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
21,000300GBP01.CSI,沪深300(全)GBP,CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
22,000300GBP02.CSI,沪深300(净)GBP,CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
23,000300HKD00.CSI,沪深300HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
24,000300HKD01.CSI,沪深300(全)HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
25,000300HKD02.CSI,沪深300(净)HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
26,000300HKD07.CSI,沪深300HKD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
27,000300HKD08.CSI,沪深300(全)HKD(CNH),CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
28,000300USD13.CSI,沪深300USD(CNH)(LN),CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
29,000300USD14.CSI,沪深300(全)USD(CNH)(LN),CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
30,000300USD15.CSI,沪深300(净)USD(CNH)(LN),CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
31,000300USD16.CSI,沪深300USD(CNH)(NY),CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
32,000300USD17.CSI,沪深300(全)USD(CNH)(NY),CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
33,000300USD18.CSI,沪深300(净)USD(CNH)(NY),CSI,中证指数有限公司,规模指数,20041231,1000.0,20050408
34,000500.CSI,内地企业,CSI,中证指数有限公司,规模指数,20041231,1000.0,20141017
35,000500CNY01.CSI,内地企业(全),CSI,中证指数有限公司,规模指数,20041231,1000.0,20141017
36,000500HKD00.CSI,内地企业HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20141017
