trade_date,ic
20160201,0.7999999999999999
20160215,-0.5
20160222,-0.08391608391608392
20160229,-0.03531884563484216
20160307,
20160314,0.32121212121212117
20160321,0.7818181818181817
20160328,-0.0021227801368467105
20160411,0.0
20160418,0.09999999999999999
20160425,-0.08831239040578888
20160509,1.0
20160516,0.5
20160523,-0.49999999999999994
20160530,-0.06717134162243901
20160606,0.9999999999999999
20160613,-0.5
20160620,-1.0
20160627,-0.07541687589016224
20160704,-1.0
20160711,0.9999999999999999
20160718,0.10714285714285716
20160725,-0.09000869404137771
20160808,
20160815,0.3
20160822,-0.5357142857142858
20160829,0.09713522726039976
20160905,0.08571428571428573
20160912,0.5
20160919,0.1666666666666667
20160926,-0.030757520721554184
20161017,0.5
20161024,-0.7
20161031,-0.09665981096312261
20161107,-0.14285714285714288
20161114,0.16666666666666669
20161121,-0.6666666666666669
20161128,0.07271372209420462
20161205,-0.9999999999999999
20161212,1.0
20161219,-0.5
20161226,-0.036684955975841385
20170109,-0.3714285714285715
20170116,-0.49999999999999994
20170123,-0.04363308851870206
20170206,-0.9999999999999999
20170213,-1.0
20170220,-0.19999999999999998
20170227,0.0017039091171463417
20170313,1.0
20170320,0.0
20170327,0.04598439758069598
20170410,0.14285714285714288
20170417,0.4523809523809524
20170424,0.08600509880776215
20170508,0.7
20170515,1.0
20170522,0.02219603446302604
20170605,0.5
20170619,-0.028571428571428574
20170626,-0.012577876985006467
20170703,0.5
20170710,0.5
20170717,-0.7
20170724,0.6000000000000001
20170731,-0.10811458335330372
20170807,0.9999999999999999
20170814,-0.9999999999999999
20170821,-0.39999999999999997
20170828,-0.06415219449454883
20170904,0.39999999999999997
20170911,-0.5
20170918,0.2571428571428572
20170925,0.022689889167922434
20171009,0.9999999999999999
20171016,-0.9999999999999999
20171023,0.0
20171030,0.06553629842822949
20171106,
20171113,
20171120,-0.28571428571428575
20171127,0.07627537312496473
20171204,
20171211,0.5
20171218,-0.19999999999999998
20171225,0.0645322578605533
20180108,
20180115,-0.8999999999999998
20180122,0.7666666666666667
20180129,-0.015115876428096165
20180205,
20180212,
20180226,-0.05539444084680545
20180305,
20180319,-0.09999999999999999
20180326,0.043420394242827995
20180402,
20180409,0.5
20180416,-0.6000000000000001
20180423,-0.07514411893791703
20180507,0.9999999999999999
20180521,-0.49999999999999994
20180528,0.03809930828140729
20180604,-0.5
20180611,0.3714285714285715
20180625,0.09043655131439013
20180702,
20180730,0.03709761076736272
20180820,-0.9999999999999999
20180827,-0.06189172311623778
20180903,
20180910,0.5
20180917,-0.04278433783262779
20181008,
20181015,
20181022,
20181029,0.047381831496240936
20181119,
20181126,0.022650694966425824
20181224,0.0031611059179293874
20190128,-0.004071491067571695
20190218,0.9999999999999999
20190225,-0.011130692434562004
20190318,-0.8999999999999998
20190325,0.04690979704717588
20190422,-0.9999999999999999
20190429,-0.06974193428700748
20190520,
20190527,-0.00592486986077589
20190610,
20190624,-0.03317946215174026
20190715,
20190722,
20190729,0.038282668799392745
20190812,
20190819,
20190826,-0.013022239517723315
20190916,
20190923,
20190930,0.0459501066153014
20191014,
20191021,
20191028,-0.015994425319403042
20191118,
20191125,-0.024900465108994897
20191230,0.020551502238206985
20200106,
20200113,
20200120,0.04677635493101398
20200224,-0.001717188968629351
20200330,-0.16841784498676263
20200413,
20200420,
20200427,0.08049715059099917
20200525,-0.09097587734887325
20200615,
20200622,-0.9999999999999999
20200629,0.03351510407756121
20200720,
20200727,-0.03584944206644834
20200817,
20200824,0.9999999999999999
20200831,0.025669676478975986
20200914,
20200921,-0.9999999999999999
20200928,-0.012048140276227288
20201026,-0.008437532397390137
20201123,0.9999999999999999
20201130,0.031280298875466996
20201221,
20201228,0.051044854331367066
20210111,
20210118,-0.9999999999999999
20210125,-0.09552596231772005
20210208,
20210222,0.104740964376473
20210322,
20210329,-0.018647894988619237
20210426,0.03314195892167149
20210524,
20210531,-0.013899608701320074
20210607,
20210628,-0.0905545815586701
20210719,
20210726,0.0418880404884229
20210830,0.06713088715718302
20210913,-0.9999999999999999
20210927,-0.08298235568645752
20211018,-1.0
20211025,-0.016613796324647837
20211122,
20211129,0.009525664754768768
20211227,0.06905258593328437
20220124,0.13127520389103312
20220214,
20220221,0.9999999999999999
20220228,0.09746787490234433
20220328,-0.005848911641841753
20220411,
20220418,0.9999999999999999
20220425,0.008872127561879897
20220523,
