样本,换仓日,持有周期,持仓股票,持仓股票名称,持仓数量
全市场,20260325,2026-04,"002561.SZ,605337.SH,003013.SZ,001227.SZ,301370.SZ","徐家汇,李子园,地铁设计,兰州银行,国科恒泰",5
全市场,20260227,2026-03,"603210.SH,600269.SH,001391.SZ,000088.SZ,603235.SH","泰鸿万立,赣粤高速,国货航,盐田港,天新药业",5
全市场,20260130,2026-02,"601158.SH,603357.SH,601916.SH,603237.SH,001213.SZ","重庆水务,设计总院,浙商银行,五芳斋,中铁特货",5
全市场,20251231,2026-01,"600903.SH,000900.SZ,601065.SH,600905.SH,000885.SZ","贵州燃气,现代投资,江盐集团,三峡能源,城发环境",5
全市场,20251128,2025-12,"603916.SH,603066.SH,001391.SZ,600905.SH,600717.SH","苏博特,音飞储存,国货航,三峡能源,天津港",5
全市场,20251031,2025-11,"601568.SH,001391.SZ,001213.SZ,301116.SZ,603022.SH","北元集团,国货航,中铁特货,益客食品,新通联",5
全市场,20250930,2025-10,"600023.SH,603235.SH,601065.SH,002349.SZ,600917.SH","浙能电力,天新药业,江盐集团,精华制药,重庆燃气",5
全市场,20250829,2025-09,"600925.SH,601065.SH,605368.SH,601158.SH,002116.SZ","苏能股份,江盐集团,蓝天燃气,重庆水务,中国海诚",5
全市场,20250731,2025-08,"001333.SZ,601139.SH,601200.SH,600008.SH,002415.SZ","光华股份,深圳燃气,上海环境,首创环保,海康威视",5
全市场,20250630,2025-07,"600308.SH,601618.SH,600508.SH,000883.SZ,001378.SZ","华泰股份,中国中冶,上海能源,湖北能源,德冠新材",5
全市场,20250530,2025-06,"002236.SZ,000021.SZ,600917.SH,000883.SZ,600328.SH","大华股份,深科技,重庆燃气,湖北能源,中盐化工",5
全市场,20250430,2025-05,"000758.SZ,601236.SH,000750.SZ,000728.SZ,001203.SZ","中色股份,红塔证券,国海证券,国元证券,大中矿业",5
全市场,20250331,2025-04,"001378.SZ,301223.SZ,600356.SH,601065.SH,000900.SZ","德冠新材,中荣股份,恒丰纸业,江盐集团,现代投资",5
全市场,20250228,2025-03,"001213.SZ,601065.SH,600008.SH,600681.SH,600740.SH","中铁特货,江盐集团,首创环保,百川能源,山西焦化",5
全市场,20250127,2025-02,"301559.SZ,001213.SZ,000498.SZ,603357.SH,601065.SH","中集环科,中铁特货,山东路桥,设计总院,江盐集团",5
全市场,20241231,2025-01,"601065.SH,600925.SH,600905.SH,603065.SH,001213.SZ","江盐集团,苏能股份,三峡能源,宿迁联盛,中铁特货",5
全市场,20241129,2024-12,"605177.SH,603071.SH,601827.SH,301115.SZ,600925.SH","东亚药业,物产环能,三峰环境,联检科技,苏能股份",5
全市场,20241031,2024-11,"601065.SH,601083.SH,002608.SZ,001308.SZ,301303.SZ","江盐集团,锦江航运,江苏国信,康冠科技,真兰仪表",5
全市场,20240930,2024-10,"600137.SH,601065.SH,600572.SH,603967.SH,003013.SZ","浪莎股份,江盐集团,康恩贝,中创物流,地铁设计",5
全市场,20240830,2024-09,"000990.SZ,002054.SZ,000055.SZ,920729.BJ,601880.SH","诚志股份,德美化工,方大集团,永顺生物,辽港股份",5
全市场,20240731,2024-08,"601789.SH,600103.SH,600059.SH,600783.SH,603217.SH","宁波建工,青山纸业,古越龙山,鲁信创投,元利科技",5
全市场,20240628,2024-07,"000685.SZ,000828.SZ,601200.SH,600859.SH,600170.SH","中山公用,东莞控股,上海环境,王府井,上海建工",5
全市场,20240531,2024-06,"601006.SH,000778.SZ,000623.SZ,600004.SH,600221.SH","大秦铁路,新兴铸管,吉林敖东,白云机场,海航控股",5
全市场,20240430,2024-05,"601229.SH,600829.SH,603915.SH,601330.SH,601311.SH","上海银行,人民同泰,国茂股份,绿色动力,骆驼股份",5
全市场,20240329,2024-04,"001213.SZ,000498.SZ,600180.SH,002628.SZ,002697.SZ","中铁特货,山东路桥,瑞茂通,成都路桥,红旗连锁",5
全市场,20240229,2024-03,"000869.SZ,600853.SH,000731.SZ,000055.SZ,600308.SH","张裕Ａ,龙建股份,四川美丰,方大集团,华泰股份",5
全市场,20240131,2024-02,"002004.SZ,600713.SH,600261.SH,002589.SZ,601399.SH","华邦健康,南京医药,阳光照明,瑞康医药,国机重装",5
全市场,20231229,2024-01,"600528.SH,603323.SH,002936.SZ,603071.SH,601568.SH","中铁工业,苏农银行,郑州银行,物产环能,北元集团",5
全市场,20231130,2023-12,"601997.SH,600927.SH,301216.SZ,601718.SH,000685.SZ","贵阳银行,永安期货,万凯新材,际华集团,中山公用",5
全市场,20231031,2023-11,"600834.SH,603980.SH,600500.SH,002936.SZ,603797.SH","申通地铁,吉华集团,中化国际,郑州银行,联泰环保",5
全市场,20230928,2023-10,"002498.SZ,002391.SZ,600241.SH,000927.SZ,000726.SZ","汉缆股份,长青股份,时代万恒,中国铁物,鲁泰Ａ",5
全市场,20230831,2023-09,"002218.SZ,600644.SH,002408.SZ,600935.SH,600277.SH","拓日新能,乐山电力,齐翔腾达,华塑股份,600277.SH",5
全市场,20230731,2023-08,"600905.SH,605500.SH,600834.SH,600925.SH,001213.SZ","三峡能源,森林包装,申通地铁,苏能股份,中铁特货",5
全市场,20230630,2023-07,"002736.SZ,600352.SH,002391.SZ,600439.SH,000612.SZ","国信证券,浙江龙盛,长青股份,瑞贝卡,焦作万方",5
全市场,20230531,2023-06,"000570.SZ,600467.SH,600051.SH,000677.SZ,002225.SZ","苏常柴Ａ,好当家,宁波联合,恒天海龙,濮耐股份",5
全市场,20230428,2023-05,"600617.SH,000488.SZ,601200.SH,601568.SH,600575.SH","国新能源,ST晨鸣,上海环境,北元集团,淮河能源",5
全市场,20230331,2023-04,"603071.SH,601229.SH,600177.SH,920174.BJ,601825.SH","物产环能,上海银行,雅戈尔,五新隧装,沪农商行",5
全市场,20230228,2023-03,"601169.SH,601398.SH,601939.SH,002282.SZ,600016.SH","北京银行,工商银行,建设银行,博深股份,民生银行",5
全市场,20230131,2023-02,"600874.SH,000598.SZ,601158.SH,600177.SH,601568.SH","创业环保,兴蓉环境,重庆水务,雅戈尔,北元集团",5
全市场,20221230,2023-01,"601211.SH,601398.SH,600874.SH,601077.SH,601963.SH","国泰海通,工商银行,创业环保,渝农商行,重庆银行",5
全市场,20221130,2022-12,"000828.SZ,600177.SH,601568.SH,601988.SH,000685.SZ","东莞控股,雅戈尔,北元集团,中国银行,中山公用",5
全市场,20221031,2022-11,"601169.SH,600269.SH,600016.SH,600611.SH,601818.SH","北京银行,赣粤高速,民生银行,大众交通,光大银行",5
全市场,20220930,2022-10,"601169.SH,601963.SH,601398.SH,600377.SH,601200.SH","北京银行,重庆银行,工商银行,宁沪高速,上海环境",5
全市场,20220831,2022-09,"601988.SH,601328.SH,601077.SH,600008.SH,000923.SZ","中国银行,交通银行,渝农商行,首创环保,河钢资源",5
全市场,20220729,2022-08,"600000.SH,601728.SH,600028.SH,601077.SH,601916.SH","浦发银行,中国电信,中国石化,渝农商行,浙商银行",5
全市场,20220630,2022-07,"601288.SH,601939.SH,601988.SH,601169.SH,600016.SH","农业银行,建设银行,中国银行,北京银行,民生银行",5
全市场,20220531,2022-06,"601728.SH,601229.SH,601939.SH,601169.SH,601997.SH","中国电信,上海银行,建设银行,北京银行,贵阳银行",5
全市场,20220429,2022-05,"601728.SH,603015.SH,601288.SH,600015.SH,603042.SH","中国电信,弘讯科技,农业银行,华夏银行,华脉科技",5
全市场,20220331,2022-04,"002998.SZ,601169.SH,601921.SH,002521.SZ,601916.SH","优彩资源,北京银行,浙版传媒,齐峰新材,浙商银行",5
全市场,20220228,2022-03,"600016.SH,601818.SH,601077.SH,601229.SH,601766.SH","民生银行,光大银行,渝农商行,上海银行,中国中车",5
